Skills,Experience,Education,Certifications,Job_Role,Salary_Expectation,Projects_Count,AI_Score,Recruiter_Decision,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelB_Hire_Prob,ModelB_Prediction,ModelB_Pred_Label,ModelB_Rank
"NLP, TensorFlow, Python",3,B.Tech,AWS Certified,AI Researcher,62695,9,95.6,Hire,2,0,0,1,0.8755,1,Hire,379
"Python, NLP, TensorFlow",7,B.Sc,Google ML,AI Researcher,62487,8,94.9,Hire,2,2,0,0,0.8755,1,Hire,379
"Python, NLP, TensorFlow",10,B.Tech,,AI Researcher,62710,2,94.6,Hire,2,3,0,1,0.8755,1,Hire,379
"SQL, React, Java",2,MBA,Google ML,Software Engineer,62666,1,48.1,Hire,3,2,3,3,0.8755,1,Hire,379
"Java, React",6,B.Sc,Google ML,Software Engineer,62463,0,78.4,Hire,2,2,3,0,0.8755,1,Hire,379
"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,71766,7,63.6,Hire,3,1,1,3,0.8733,1,Hire,389
"TensorFlow, NLP, Python",3,PhD,AWS Certified,AI Researcher,71785,7,84.8,Hire,4,0,0,4,0.8733,1,Hire,389
"Python, Pytorch",7,B.Sc,Google ML,AI Researcher,71756,2,100.0,Hire,2,2,0,0,0.8733,1,Hire,389
"Machine Learning, Deep Learning, Python",10,M.Tech,Google ML,Data Scientist,47998,10,94.5,Hire,3,2,2,2,0.8727,1,Hire,392
"C++, React, SQL, Java",5,M.Tech,,Software Engineer,48105,6,84.8,Hire,3,3,3,2,0.8727,1,Hire,392
"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,47957,5,100.0,Hire,2,2,1,1,0.8727,1,Hire,392
"SQL, C++",7,B.Sc,AWS Certified,Software Engineer,47957,7,100.0,Hire,2,0,3,0,0.8727,1,Hire,392
"Java, React, SQL",4,PhD,Deep Learning Specialization,Software Engineer,49673,7,100.0,Hire,4,1,3,4,0.8716,1,Hire,396
"NLP, Python, TensorFlow",7,MBA,AWS Certified,AI Researcher,49447,10,100.0,Hire,3,0,0,3,0.8716,1,Hire,396
"C++, Java, SQL, React",3,B.Sc,Google ML,Software Engineer,49367,3,75.8,Hire,2,2,3,0,0.8716,1,Hire,396
"C++, React",10,M.Tech,Deep Learning Specialization,Software Engineer,49673,5,100.0,Hire,3,1,3,2,0.8716,1,Hire,396
"Ethical Hacking, Linux, Networking, Cybersecurity",6,MBA,,Cybersecurity Analyst,90173,4,99.6,Hire,3,3,1,3,0.8707,1,Hire,400
"SQL, Java, C++",2,B.Sc,AWS Certified,Software Engineer,90151,1,56.6,Hire,2,0,3,0,0.8707,1,Hire,400
"React, C++, SQL, Java",4,B.Tech,Deep Learning Specialization,Software Engineer,90345,7,90.2,Hire,2,1,3,1,0.8707,1,Hire,400
"SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,90362,8,56.9,Hire,2,0,2,1,0.8707,1,Hire,400
"React, Java, SQL, C++",5,PhD,Deep Learning Specialization,Software Engineer,94954,10,97.3,Hire,4,1,3,4,0.8643,1,Hire,404
"C++, SQL, Java",10,M.Tech,Deep Learning Specialization,Software Engineer,95050,2,100.0,Hire,3,1,3,2,0.8643,1,Hire,404
"SQL, React, Java, C++",9,MBA,Google ML,Software Engineer,95141,7,93.3,Hire,3,2,3,3,0.8643,1,Hire,404
"Machine Learning, SQL, Python",10,PhD,,Data Scientist,95170,6,92.7,Hire,4,3,2,4,0.8643,1,Hire,404
"Python, NLP, Pytorch, TensorFlow",5,B.Sc,Deep Learning Specialization,AI Researcher,48234,9,92.4,Hire,2,1,0,0,0.8605,1,Hire,408
"SQL, C++, Java",1,M.Tech,,Software Engineer,48157,5,46.2,Reject,3,3,3,2,0.8605,1,Hire,408
"NLP, TensorFlow",7,PhD,Deep Learning Specialization,AI Researcher,48195,0,94.7,Hire,4,1,0,4,0.8605,1,Hire,408
"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,48252,4,93.1,Hire,3,0,3,2,0.8605,1,Hire,408
"Deep Learning, Machine Learning, SQL, Python",6,PhD,Deep Learning Specialization,Data Scientist,48306,10,100.0,Hire,4,1,2,4,0.8605,1,Hire,408
"SQL, Python, Machine Learning, Deep Learning",3,M.Tech,Google ML,Data Scientist,65930,5,90.3,Hire,3,2,2,2,0.8595,1,Hire,413
"Ethical Hacking, Networking",6,PhD,AWS Certified,Cybersecurity Analyst,66054,2,88.6,Hire,4,0,1,4,0.8595,1,Hire,413
"Java, SQL",2,MBA,,Software Engineer,66087,9,83.0,Hire,3,3,3,3,0.8595,1,Hire,413
"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,66208,9,95.1,Hire,3,0,1,2,0.8595,1,Hire,413
"Python, Deep Learning, SQL, Machine Learning",7,B.Tech,Google ML,Data Scientist,65981,0,95.2,Hire,2,2,2,1,0.8595,1,Hire,413
"TensorFlow, NLP, Pytorch",3,B.Sc,Deep Learning Specialization,AI Researcher,65916,9,95.8,Hire,2,1,0,0,0.8595,1,Hire,413
"SQL, Java",0,B.Sc,AWS Certified,Software Engineer,65854,6,54.6,Hire,2,0,3,0,0.8595,1,Hire,413
"SQL, Python",9,B.Sc,Deep Learning Specialization,Data Scientist,66133,2,100.0,Hire,2,1,2,0,0.8595,1,Hire,413
"Networking, Cybersecurity, Ethical Hacking",8,MBA,,Cybersecurity Analyst,65748,4,100.0,Hire,3,3,1,3,0.8595,1,Hire,413
"React, SQL, Java, C++",1,PhD,AWS Certified,Software Engineer,58162,5,58.8,Hire,4,0,3,4,0.8588,1,Hire,422
"Java, C++, React, SQL",6,B.Tech,Deep Learning Specialization,Software Engineer,58157,4,93.2,Reject,2,1,3,1,0.8588,1,Hire,422
"Deep Learning, Machine Learning, Python",10,B.Tech,,Data Scientist,58090,4,100.0,Hire,2,3,2,1,0.8588,1,Hire,422
"Cybersecurity, Linux, Ethical Hacking",5,MBA,AWS Certified,Cybersecurity Analyst,59821,5,100.0,Hire,3,0,1,3,0.855,1,Hire,425
"Ethical Hacking, Linux, Networking",1,PhD,AWS Certified,Cybersecurity Analyst,59652,10,71.7,Hire,4,0,1,4,0.855,1,Hire,425
"Python, SQL, Machine Learning",3,MBA,Deep Learning Specialization,Data Scientist,59564,2,55.7,Hire,3,1,2,3,0.855,1,Hire,425
"Python, Machine Learning",8,B.Tech,AWS Certified,Data Scientist,59833,2,100.0,Hire,2,0,2,1,0.855,1,Hire,425
"Linux, Cybersecurity, Ethical Hacking",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,59707,8,100.0,Hire,2,1,1,0,0.855,1,Hire,425
"Machine Learning, Python",1,MBA,Deep Learning Specialization,Data Scientist,50397,8,70.1,Reject,3,1,2,3,0.8538,1,Hire,430
"Python, Pytorch, NLP, TensorFlow",4,PhD,Deep Learning Specialization,AI Researcher,50369,8,100.0,Hire,4,1,0,4,0.8538,1,Hire,430
"Machine Learning, Python, SQL",6,B.Tech,,Data Scientist,50393,5,100.0,Hire,2,3,2,1,0.8538,1,Hire,430
"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,AWS Certified,Data Scientist,50340,0,95.0,Hire,2,0,2,0,0.8538,1,Hire,430
"TensorFlow, NLP",6,PhD,AWS Certified,AI Researcher,64951,8,100.0,Hire,4,0,0,4,0.8514,1,Hire,434
"Pytorch, TensorFlow",2,MBA,AWS Certified,AI Researcher,65012,6,70.3,Hire,3,0,0,3,0.8514,1,Hire,434
"Cybersecurity, Ethical Hacking, Linux",7,MBA,AWS Certified,Cybersecurity Analyst,64888,5,95.1,Hire,3,0,1,3,0.8514,1,Hire,434
"Python, Machine Learning",5,B.Sc,,Data Scientist,65003,1,66.9,Hire,2,3,2,0,0.8514,1,Hire,434
"Deep Learning, Machine Learning",0,MBA,Deep Learning Specialization,Data Scientist,103294,5,46.1,Reject,3,1,2,3,0.8508,1,Hire,438
"Networking, Linux, Cybersecurity, Ethical Hacking",7,B.Tech,AWS Certified,Cybersecurity Analyst,103102,2,100.0,Hire,2,0,1,1,0.8508,1,Hire,438
"Java, C++, SQL",0,B.Sc,,Software Engineer,103202,3,33.8,Hire,2,3,3,0,0.8508,1,Hire,438
"Machine Learning, Deep Learning",9,PhD,,Data Scientist,51682,8,98.2,Hire,4,3,2,4,0.8471,1,Hire,441
"Cybersecurity, Networking",1,PhD,Google ML,Cybersecurity Analyst,51388,6,58.1,Hire,4,2,1,4,0.8471,1,Hire,441
"Pytorch, NLP, TensorFlow, Python",7,M.Tech,AWS Certified,AI Researcher,51478,9,100.0,Hire,3,0,0,2,0.8471,1,Hire,441
"Ethical Hacking, Networking, Linux, Cybersecurity",0,B.Tech,Google ML,Cybersecurity Analyst,70943,8,77.3,Hire,2,2,1,1,0.8462,1,Hire,444
"Deep Learning, Machine Learning, SQL",10,B.Tech,,Data Scientist,70494,7,92.2,Hire,2,3,2,1,0.8462,1,Hire,444
"Deep Learning, Python, SQL",2,PhD,Deep Learning Specialization,Data Scientist,70971,3,62.4,Hire,4,1,2,4,0.8462,1,Hire,444
"Cybersecurity, Ethical Hacking",6,MBA,AWS Certified,Cybersecurity Analyst,56096,8,99.9,Hire,3,0,1,3,0.8459,1,Hire,447
"Pytorch, NLP, Python, TensorFlow",5,B.Tech,,AI Researcher,56104,6,93.5,Hire,2,3,0,1,0.8459,1,Hire,447
"Python, Machine Learning",7,B.Sc,AWS Certified,Data Scientist,55994,2,90.2,Hire,2,0,2,0,0.8459,1,Hire,447
"NLP, Python",10,PhD,Google ML,AI Researcher,100218,10,93.0,Hire,4,2,0,4,0.8412,1,Hire,450
"Networking, Cybersecurity, Ethical Hacking, Linux",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,100153,6,100.0,Hire,2,1,1,1,0.8412,1,Hire,450
"C++, SQL, React, Java",8,PhD,Deep Learning Specialization,Software Engineer,100202,5,98.4,Hire,4,1,3,4,0.8412,1,Hire,450
"TensorFlow, NLP",2,MBA,,AI Researcher,99963,10,73.6,Hire,3,3,0,3,0.8412,1,Hire,450
"Java, C++, React",7,PhD,,Software Engineer,100195,6,88.5,Hire,4,3,3,4,0.8412,1,Hire,450
"Cybersecurity, Networking, Linux, Ethical Hacking",1,B.Sc,,Cybersecurity Analyst,99954,8,74.4,Reject,2,3,1,0,0.8412,1,Hire,450
"SQL, React",10,B.Tech,Deep Learning Specialization,Software Engineer,89543,5,94.6,Hire,2,1,3,1,0.8406,1,Hire,456
"Python, Machine Learning",10,MBA,Google ML,Data Scientist,89482,5,91.8,Hire,3,2,2,3,0.8406,1,Hire,456
"SQL, Machine Learning, Deep Learning, Python",5,B.Tech,,Data Scientist,89620,3,74.5,Hire,2,3,2,1,0.8406,1,Hire,456
"TensorFlow, NLP, Pytorch, Python",4,PhD,Deep Learning Specialization,AI Researcher,89633,2,83.8,Hire,4,1,0,4,0.8406,1,Hire,456
"Ethical Hacking, Linux, Networking, Cybersecurity",6,B.Sc,Google ML,Cybersecurity Analyst,59129,5,100.0,Hire,2,2,1,0,0.839,1,Hire,460
"SQL, C++, React, Java",4,MBA,Google ML,Software Engineer,59448,9,100.0,Hire,3,2,3,3,0.839,1,Hire,460
"Linux, Cybersecurity, Ethical Hacking, Networking",2,B.Tech,AWS Certified,Cybersecurity Analyst,59397,10,99.5,Hire,2,0,1,1,0.839,1,Hire,460
"Java, React",9,B.Tech,AWS Certified,Software Engineer,79610,1,100.0,Hire,2,0,3,1,0.8387,1,Hire,463
"Machine Learning, Python",3,B.Tech,Deep Learning Specialization,Data Scientist,79722,2,58.1,Reject,2,1,2,1,0.8387,1,Hire,463
"Deep Learning, Machine Learning, SQL",5,M.Tech,,Data Scientist,79635,9,100.0,Reject,3,3,2,2,0.8387,1,Hire,463
"C++, Java, SQL, React",10,PhD,,Software Engineer,79684,8,100.0,Hire,4,3,3,4,0.8387,1,Hire,463
"SQL, Java, React",4,PhD,AWS Certified,Software Engineer,79539,5,91.7,Hire,4,0,3,4,0.8387,1,Hire,463
"Java, React",6,PhD,Deep Learning Specialization,Software Engineer,54170,7,93.2,Hire,4,1,3,4,0.8382,1,Hire,468
"C++, Java, SQL, React",2,M.Tech,AWS Certified,Software Engineer,54193,0,42.2,Hire,3,0,3,2,0.8382,1,Hire,468
"C++, React",4,B.Sc,Deep Learning Specialization,Software Engineer,54116,10,100.0,Hire,2,1,3,0,0.8382,1,Hire,468
"Networking, Cybersecurity, Ethical Hacking",7,PhD,,Cybersecurity Analyst,54150,0,85.8,Hire,4,3,1,4,0.8382,1,Hire,468
"SQL, Deep Learning, Machine Learning",1,MBA,,Data Scientist,54006,4,41.5,Reject,3,3,2,3,0.8382,1,Hire,468
"Deep Learning, Python",6,MBA,Deep Learning Specialization,Data Scientist,53984,7,100.0,Hire,3,1,2,3,0.8382,1,Hire,468
"Machine Learning, SQL, Deep Learning",10,PhD,,Data Scientist,54054,0,89.5,Hire,4,3,2,4,0.8382,1,Hire,468
"C++, SQL",5,M.Tech,Google ML,Software Engineer,41530,0,69.9,Hire,3,2,3,2,0.8378,1,Hire,475
"NLP, Pytorch",8,B.Sc,AWS Certified,AI Researcher,41624,4,100.0,Hire,2,0,0,0,0.8378,1,Hire,475
"Machine Learning, Deep Learning, SQL",6,M.Tech,,Data Scientist,41610,7,90.2,Hire,3,3,2,2,0.8378,1,Hire,475
"Deep Learning, Machine Learning, SQL",5,B.Sc,Google ML,Data Scientist,41593,4,96.7,Hire,2,2,2,0,0.8378,1,Hire,475
"SQL, C++, Java",4,B.Sc,Deep Learning Specialization,Software Engineer,50410,10,100.0,Hire,2,1,3,0,0.8349,1,Hire,479
"React, SQL, Java, C++",1,PhD,,Software Engineer,50422,1,33.6,Reject,4,3,3,4,0.8349,1,Hire,479
"SQL, Java, C++, React",4,MBA,AWS Certified,Software Engineer,50602,9,100.0,Hire,3,0,3,3,0.8349,1,Hire,479
"TensorFlow, Pytorch",5,PhD,AWS Certified,AI Researcher,79405,4,95.0,Hire,4,0,0,4,0.8337,1,Hire,482
"Machine Learning, Python, Deep Learning",1,MBA,Deep Learning Specialization,Data Scientist,79404,4,53.7,Reject,3,1,2,3,0.8337,1,Hire,482
"Machine Learning, SQL, Deep Learning",7,MBA,Google ML,Data Scientist,79303,6,92.2,Hire,3,2,2,3,0.8337,1,Hire,482
"TensorFlow, Pytorch, Python",5,B.Tech,Google ML,AI Researcher,79333,5,100.0,Hire,2,2,0,1,0.8337,1,Hire,482
"Cybersecurity, Ethical Hacking, Linux, Networking",1,B.Sc,Google ML,Cybersecurity Analyst,51229,2,57.5,Reject,2,2,1,0,0.8331,1,Hire,486
"C++, Java",9,M.Tech,Deep Learning Specialization,Software Engineer,51284,4,100.0,Hire,3,1,3,2,0.8331,1,Hire,486
"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,AWS Certified,Data Scientist,51283,4,100.0,Hire,3,0,2,2,0.8331,1,Hire,486
"Networking, Linux",1,M.Tech,AWS Certified,Cybersecurity Analyst,51200,10,75.5,Hire,3,0,1,2,0.8331,1,Hire,486
"Deep Learning, Python, Machine Learning, SQL",10,MBA,Deep Learning Specialization,Data Scientist,63516,2,100.0,Hire,3,1,2,3,0.8302,1,Hire,490
"Python, TensorFlow, Pytorch, NLP",3,PhD,,AI Researcher,63325,8,90.1,Hire,4,3,0,4,0.8302,1,Hire,490
"TensorFlow, Python, NLP",10,MBA,,AI Researcher,63362,6,100.0,Hire,3,3,0,3,0.8302,1,Hire,490
"SQL, Java",3,B.Tech,,Software Engineer,63531,8,78.7,Hire,2,3,3,1,0.8302,1,Hire,490
"Deep Learning, Python, Machine Learning",9,MBA,Google ML,Data Scientist,105724,10,100.0,Hire,3,2,2,3,0.8296,1,Hire,494
"NLP, Python, TensorFlow",9,B.Tech,AWS Certified,AI Researcher,105695,0,100.0,Hire,2,0,0,1,0.8296,1,Hire,494
"Pytorch, NLP",1,MBA,,AI Researcher,105641,2,23.4,Reject,3,3,0,3,0.8296,1,Hire,494
"NLP, Python",5,B.Tech,AWS Certified,AI Researcher,105979,3,84.8,Hire,2,0,0,1,0.8296,1,Hire,494
"Cybersecurity, Networking, Ethical Hacking, Linux",2,B.Sc,,Cybersecurity Analyst,59121,4,59.5,Reject,2,3,1,0,0.8292,1,Hire,498
"Machine Learning, SQL, Deep Learning",5,B.Tech,Deep Learning Specialization,Data Scientist,59033,4,97.5,Hire,2,1,2,1,0.8292,1,Hire,498
"C++, React, Java, SQL",7,B.Tech,AWS Certified,Software Engineer,59061,6,97.8,Hire,2,0,3,1,0.8292,1,Hire,498
"Linux, Ethical Hacking, Networking, Cybersecurity",6,B.Sc,AWS Certified,Cybersecurity Analyst,59082,5,100.0,Hire,2,0,1,0,0.8292,1,Hire,498
"Networking, Cybersecurity, Ethical Hacking, Linux",9,MBA,AWS Certified,Cybersecurity Analyst,45660,9,98.7,Hire,3,0,1,3,0.829,1,Hire,502
"Python, NLP, TensorFlow, Pytorch",5,PhD,,AI Researcher,45488,9,90.4,Reject,4,3,0,4,0.829,1,Hire,502
"TensorFlow, NLP",7,M.Tech,Deep Learning Specialization,AI Researcher,45655,6,93.2,Hire,3,1,0,2,0.829,1,Hire,502
"Linux, Networking, Ethical Hacking",3,B.Tech,AWS Certified,Cybersecurity Analyst,45475,3,65.7,Hire,2,0,1,1,0.829,1,Hire,502
"Linux, Cybersecurity",7,PhD,,Cybersecurity Analyst,106469,0,84.2,Hire,4,3,1,4,0.8254,1,Hire,506
"Python, NLP, Pytorch, TensorFlow",0,B.Sc,Google ML,AI Researcher,106452,3,37.5,Reject,2,2,0,0,0.8254,1,Hire,506
"C++, SQL",5,M.Tech,Google ML,Software Engineer,106464,5,89.3,Hire,3,2,3,2,0.8254,1,Hire,506
"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,106472,4,63.3,Reject,2,1,2,1,0.8254,1,Hire,506
"Linux, Ethical Hacking",10,M.Tech,Google ML,Cybersecurity Analyst,71601,9,100.0,Hire,3,2,1,2,0.8251,1,Hire,510
"Ethical Hacking, Networking",10,M.Tech,AWS Certified,Cybersecurity Analyst,71504,6,95.0,Hire,3,0,1,2,0.8251,1,Hire,510
"Python, NLP, Pytorch, TensorFlow",8,B.Tech,AWS Certified,AI Researcher,71605,3,99.0,Hire,2,0,0,1,0.8251,1,Hire,510
"Pytorch, Python, TensorFlow, NLP",5,B.Sc,Google ML,AI Researcher,75037,10,100.0,Hire,2,2,0,0,0.825,1,Hire,513
"Networking, Ethical Hacking",0,M.Tech,AWS Certified,Cybersecurity Analyst,74792,5,46.3,Hire,3,0,1,2,0.825,1,Hire,513
"React, C++, Java, SQL",6,B.Tech,Google ML,Software Engineer,74854,6,100.0,Hire,2,2,3,1,0.825,1,Hire,513
"TensorFlow, NLP",3,B.Tech,Google ML,AI Researcher,74914,10,96.7,Hire,2,2,0,1,0.825,1,Hire,513
"TensorFlow, Pytorch, Python",9,PhD,Google ML,AI Researcher,75101,2,93.7,Hire,4,2,0,4,0.825,1,Hire,513
"React, Java",5,PhD,,Software Engineer,74711,8,96.0,Reject,4,3,3,4,0.825,1,Hire,513
"SQL, Machine Learning, Deep Learning",4,B.Sc,,Data Scientist,75186,1,56.8,Hire,2,3,2,0,0.825,1,Hire,513
"Pytorch, TensorFlow, Python",6,B.Tech,,AI Researcher,65283,7,100.0,Hire,2,3,0,1,0.8244,1,Hire,520
"NLP, TensorFlow, Python",0,MBA,Deep Learning Specialization,AI Researcher,65417,3,44.0,Hire,3,1,0,3,0.8244,1,Hire,520
"Networking, Ethical Hacking",1,M.Tech,AWS Certified,Cybersecurity Analyst,65217,6,52.4,Reject,3,0,1,2,0.8244,1,Hire,520
"Cybersecurity, Ethical Hacking, Linux",1,B.Tech,Google ML,Cybersecurity Analyst,65313,7,58.1,Hire,2,2,1,1,0.8244,1,Hire,520
"Python, Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,65345,8,96.5,Hire,2,0,0,1,0.8244,1,Hire,520
"TensorFlow, NLP, Python",10,M.Tech,Google ML,AI Researcher,65446,9,97.6,Hire,3,2,0,2,0.8244,1,Hire,520
"Python, SQL, Machine Learning, Deep Learning",4,B.Tech,AWS Certified,Data Scientist,65571,5,100.0,Hire,2,0,2,1,0.8244,1,Hire,520
"TensorFlow, Python",9,PhD,AWS Certified,AI Researcher,65183,1,97.6,Hire,4,0,0,4,0.8244,1,Hire,520
"C++, SQL",7,MBA,AWS Certified,Software Engineer,45278,8,100.0,Hire,3,0,3,3,0.824,1,Hire,528
"Pytorch, TensorFlow, Python, NLP",4,B.Sc,Google ML,AI Researcher,45453,5,94.4,Hire,2,2,0,0,0.824,1,Hire,528
"Linux, Ethical Hacking, Cybersecurity, Networking",8,M.Tech,AWS Certified,Cybersecurity Analyst,45438,3,100.0,Hire,3,0,1,2,0.824,1,Hire,528
"Linux, Ethical Hacking",3,M.Tech,AWS Certified,Cybersecurity Analyst,45271,2,61.7,Reject,3,0,1,2,0.824,1,Hire,528
"SQL, C++",1,B.Tech,AWS Certified,Software Engineer,45422,10,80.3,Hire,2,0,3,1,0.824,1,Hire,528
"Cybersecurity, Ethical Hacking, Networking, Linux",6,PhD,Google ML,Cybersecurity Analyst,67810,1,100.0,Hire,4,2,1,4,0.8235,1,Hire,533
"Python, Pytorch, TensorFlow, NLP",9,M.Tech,,AI Researcher,67670,9,91.1,Hire,3,3,0,2,0.8235,1,Hire,533
"Linux, Cybersecurity, Ethical Hacking",4,MBA,AWS Certified,Cybersecurity Analyst,67535,1,73.6,Hire,3,0,1,3,0.8235,1,Hire,533
"SQL, Java, React",6,B.Sc,Google ML,Software Engineer,67745,3,100.0,Hire,2,2,3,0,0.8235,1,Hire,533
"React, C++, SQL, Java",7,M.Tech,Google ML,Software Engineer,67871,10,100.0,Reject,3,2,3,2,0.8235,1,Hire,533
"Pytorch, TensorFlow, Python",4,MBA,Google ML,AI Researcher,67536,6,91.5,Hire,3,2,0,3,0.8235,1,Hire,533
"C++, React, SQL, Java",5,PhD,Deep Learning Specialization,Software Engineer,101120,5,100.0,Hire,4,1,3,4,0.8196,1,Hire,539
"C++, React",10,MBA,AWS Certified,Software Engineer,101108,9,97.4,Hire,3,0,3,3,0.8196,1,Hire,539
"React, SQL, C++",6,M.Tech,Google ML,Software Engineer,100827,10,100.0,Hire,3,2,3,2,0.8196,1,Hire,539
"Networking, Cybersecurity, Linux, Ethical Hacking",10,B.Tech,,Cybersecurity Analyst,101100,10,97.3,Hire,2,3,1,1,0.8196,1,Hire,539
"Ethical Hacking, Linux, Networking, Cybersecurity",6,MBA,,Cybersecurity Analyst,56426,1,84.3,Reject,3,3,1,3,0.8191,1,Hire,543
"Machine Learning, Python, Deep Learning",2,M.Tech,Google ML,Data Scientist,56433,2,63.1,Hire,3,2,2,2,0.8191,1,Hire,543
"Ethical Hacking, Linux",4,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,56684,5,85.1,Hire,2,1,1,0,0.8191,1,Hire,543
"Python, TensorFlow, NLP",6,B.Tech,,AI Researcher,56712,5,92.8,Hire,2,3,0,1,0.8191,1,Hire,543
"Linux, Cybersecurity, Ethical Hacking",10,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,56768,3,100.0,Hire,3,1,1,2,0.8191,1,Hire,543
"TensorFlow, Python, Pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,99521,4,100.0,Hire,2,1,0,0,0.8155,1,Hire,548
"Pytorch, TensorFlow, Python, NLP",10,PhD,Google ML,AI Researcher,99512,2,99.0,Hire,4,2,0,4,0.8155,1,Hire,548
"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Google ML,Data Scientist,99502,8,94.4,Hire,2,2,2,0,0.8155,1,Hire,548
"Ethical Hacking, Networking, Linux",0,B.Tech,Google ML,Cybersecurity Analyst,99469,9,73.7,Reject,2,2,1,1,0.8155,1,Hire,548
"SQL, React, Java",6,PhD,AWS Certified,Software Engineer,99537,10,99.6,Hire,4,0,3,4,0.8155,1,Hire,548
"NLP, Pytorch, Python",4,PhD,Google ML,AI Researcher,45733,9,100.0,Hire,4,2,0,4,0.814,1,Hire,553
"Networking, Ethical Hacking",3,B.Sc,Google ML,Cybersecurity Analyst,45918,0,52.6,Hire,2,2,1,0,0.814,1,Hire,553
"C++, React, SQL",0,MBA,,Software Engineer,45815,7,59.4,Hire,3,3,3,3,0.814,1,Hire,553
"Linux, Ethical Hacking, Networking",5,B.Sc,AWS Certified,Cybersecurity Analyst,45733,0,80.2,Hire,2,0,1,0,0.814,1,Hire,553
"Pytorch, TensorFlow, NLP",4,B.Sc,,AI Researcher,59560,5,79.2,Reject,2,3,0,0,0.8116,1,Hire,557
"Linux, Networking, Cybersecurity",6,MBA,,Cybersecurity Analyst,59504,1,77.2,Hire,3,3,1,3,0.8116,1,Hire,557
"Java, SQL, C++",8,PhD,,Software Engineer,59474,3,93.0,Hire,4,3,3,4,0.8116,1,Hire,557
"Linux, Cybersecurity, Ethical Hacking",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,71624,8,93.5,Reject,4,1,1,4,0.8109,1,Hire,560
"Java, C++",8,M.Tech,AWS Certified,Software Engineer,71678,0,97.1,Hire,3,0,3,2,0.8109,1,Hire,560
"Python, Machine Learning",2,B.Sc,Deep Learning Specialization,Data Scientist,71635,1,43.0,Hire,2,1,2,0,0.8109,1,Hire,560
"Java, C++",9,MBA,Google ML,Software Engineer,82341,3,100.0,Hire,3,2,3,3,0.8075,1,Hire,563
"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,Deep Learning Specialization,Data Scientist,82300,4,89.8,Hire,2,1,2,0,0.8075,1,Hire,563
"Cybersecurity, Ethical Hacking, Networking",0,B.Tech,,Cybersecurity Analyst,82635,7,52.4,Hire,2,3,1,1,0.8075,1,Hire,563
"Java, C++, SQL",9,M.Tech,Deep Learning Specialization,Software Engineer,82288,0,100.0,Hire,3,1,3,2,0.8075,1,Hire,563
"SQL, Java",1,M.Tech,,Software Engineer,82703,0,20.4,Reject,3,3,3,2,0.8075,1,Hire,563
"Machine Learning, Deep Learning",6,PhD,AWS Certified,Data Scientist,117600,0,86.0,Hire,4,0,2,4,0.8046,1,Hire,568
"Cybersecurity, Networking",7,M.Tech,Google ML,Cybersecurity Analyst,117696,4,100.0,Hire,3,2,1,2,0.8046,1,Hire,568
"SQL, Machine Learning, Deep Learning, Python",6,M.Tech,Deep Learning Specialization,Data Scientist,117621,5,94.4,Hire,3,1,2,2,0.8046,1,Hire,568
"Ethical Hacking, Cybersecurity, Networking",2,PhD,Deep Learning Specialization,Cybersecurity Analyst,117219,5,74.6,Hire,4,1,1,4,0.8046,1,Hire,568
"Networking, Cybersecurity, Linux, Ethical Hacking",7,M.Tech,Google ML,Cybersecurity Analyst,117704,10,100.0,Hire,3,2,1,2,0.8046,1,Hire,568
"C++, SQL, Java, React",7,B.Sc,,Software Engineer,117476,10,100.0,Hire,2,3,3,0,0.8046,1,Hire,568
"C++, React, Java",10,B.Sc,Google ML,Software Engineer,117566,8,99.5,Hire,2,2,3,0,0.8046,1,Hire,568
"Networking, Ethical Hacking",1,PhD,Google ML,Cybersecurity Analyst,117535,8,65.2,Hire,4,2,1,4,0.8046,1,Hire,568
"Machine Learning, SQL, Python",0,PhD,Google ML,Data Scientist,43642,7,56.6,Hire,4,2,2,4,0.7917,1,Hire,576
"C++, Java",4,MBA,Deep Learning Specialization,Software Engineer,43297,2,66.8,Reject,3,1,3,3,0.7917,1,Hire,576
"NLP, Pytorch, Python, TensorFlow",10,B.Sc,,AI Researcher,43594,4,92.6,Hire,2,3,0,0,0.7917,1,Hire,576
